gfp,group,srcfile
0.0319692775856755,1,1
0.023308545534667,1,2
0.0219876160237695,1,3
0.0200380037172491,1,4
0.0318935968151987,1,5
0.0234680278488981,1,6
0.020984352133063,1,7
0.0208921106927004,1,8
0.0203128515413859,1,9
0.0290900475290032,1,10
0.096965986464736,3,12
0.124916125326255,2,13
0.129706258920276,2,14
0.129408546497018,2,15
0.0570578888091432,2,16
0.0933584854409071,2,17
0.13613411563678,2,18
0.0753743892450568,2,19
0.0753743892450568,2,20
0,4,21
0,3,22
0,3,23
0,3,24
0,3,25
0,3,26
0,3,27
0,3,28
0,3,29
0,3,30
0,5,31
0,4,32
0,4,33
0,4,34
0,4,35
0,4,36
0,4,37
0,4,38
0,6,39
0.0532222208097677,7,41
0.10844739727062,6,42
0.0783317224080605,6,43
0.077586419349606,6,44
0.0929239160095586,6,45
0.054019397102899,6,46
0.0550232645146058,6,47
0.054019397102899,6,48
0.0693449630485128,8,49
0,9,51
0,8,52
0,8,54
0,10,55
0,9,56
0,9,57
0,9,58
0,9,59
0,9,60
0.060294423159273,11,61
0.066477168092841,10,63
0.0643610137323686,10,64
0.0929833876004391,10,65
0,12,66
0.0574644889660597,10,67
0,11,68
0,11,69
0,11,70
